,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,Nicholas Abruzzese,22,TOR,C,9,1,0,1,-1,2,0.0,1,0,0,1,0,0,0,8,12.5,92,10:13,3,7,2,5,28.6
1,Noel Acciari,30,FLA,C,20,3,5,8,2,11,0.6,3,0,0,1,5,0,0,32,9.4,240,11:59,16,48,84,82,50.6
2,Calen Addison,21,MIN,D,15,2,2,4,-4,2,0.3,2,0,0,0,2,0,0,17,11.8,207,13:47,6,12,0,0,
3,Andrew Agozzino,31,OTT,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,6:52,0,4,1,2,33.3
4,Jack Ahcan,24,BOS,D,6,1,0,1,-3,0,0.1,0,1,0,0,0,0,0,5,20.0,96,16:02,5,8,0,0,
5,Sebastian Aho,24,CAR,F,79,37,44,81,18,38,9.5,23,13,1,9,27,15,2,221,16.7,1497,18:57,23,76,555,504,52.4
6,Alexander Alexeyev,22,WSH,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,11,10:35,0,1,0,0,
7,Wade Allison,24,PHI,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,8,8:16,0,1,0,0,
8,Michael Amadio,25,TOT,C,56,11,7,18,1,15,1.7,11,0,0,2,7,0,0,64,17.2,681,12:10,16,42,30,42,41.7
9,Joey Anderson,23,TOR,RW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,10,0.0,44,8:46,0,3,0,0,
10,Josh Anderson,27,MTL,RW,69,19,13,32,-25,65,2.1,17,2,0,1,12,1,0,151,12.6,1189,17:14,35,153,20,22,47.6
11,Michael Anderson,22,LAK,D,57,2,6,8,6,8,2.6,2,0,0,1,6,0,0,58,3.4,1147,20:07,69,133,0,0,
12,Jaret Anderson-Dolan,22,LAK,C,7,0,0,0,-3,4,-0.3,0,0,0,0,0,0,0,5,0.0,97,13:47,3,12,9,7,56.3
13,Lias Andersson,23,LAK,C,20,1,1,2,-7,12,-0.3,1,0,0,1,0,1,0,29,3.4,212,10:37,3,23,21,26,44.7
14,Rasmus Andersson,25,CGY,D,82,4,46,50,30,28,8.6,2,2,0,1,28,17,1,152,2.6,1859,22:40,125,63,0,0,
15,Andy Andreoff,30,NYI,LW,6,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,6,16.7,60,9:59,1,11,9,8,52.9
16,Anthony Angello,25,PIT,C,4,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,27,6:38,0,13,0,1,0.0
17,Mason Appleton,26,TOT,C,68,8,13,21,-1,30,1.2,8,0,0,3,13,0,0,98,8.2,1012,14:53,20,64,7,15,31.8
18,Josh Archibald,29,EDM,RW,8,0,1,1,-2,7,-0.1,0,0,0,0,1,0,0,4,0.0,72,9:03,2,27,2,2,50.0
19,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
20,Joel Armia,28,MTL,RW,60,6,8,14,-15,14,0.1,4,1,1,0,6,2,0,103,5.8,823,13:43,27,104,3,14,17.6
21,Viktor Arvidsson,28,LAK,LW,66,20,29,49,1,22,5.2,16,4,0,3,25,4,0,227,8.8,1121,16:59,45,23,12,21,36.4
22,Rasmus Asplund,24,BUF,F,80,8,19,27,-5,10,1.6,5,2,1,1,17,2,0,130,6.2,1142,14:17,14,30,26,35,42.6
23,Zach Aston-Reese,27,TOT,C,69,5,10,15,9,28,0.8,5,0,0,0,10,0,0,78,6.4,900,13:02,42,231,4,4,50.0
24,Andreas Athanasiou,27,LAK,C,28,11,6,17,7,4,2.4,11,0,0,3,5,1,0,71,15.5,427,15:14,10,11,13,7,65.0
25,Cam Atkinson,32,PHI,RW,73,23,27,50,-2,10,5.1,18,2,3,6,24,3,0,215,10.7,1332,18:15,45,20,5,12,29.4
26,Ronald Attard,22,PHI,D,15,2,2,4,-2,8,0.7,2,0,0,0,2,0,0,16,12.5,249,16:36,17,24,0,0,
27,Nicolas Aube-Kubel,25,TOT,RW,74,11,12,23,11,47,2.3,11,0,0,2,12,0,0,87,12.6,726,9:49,18,140,3,9,25.0
28,Mikael Backlund,32,CGY,C,82,12,27,39,16,30,3.0,12,0,0,1,20,7,0,214,5.6,1404,17:07,27,62,621,608,50.5
29,Nicklas Backstrom,34,WSH,C,47,6,25,31,-8,12,2.0,5,1,0,1,12,13,0,68,8.8,822,17:29,16,16,301,348,46.4
30,Brandon Baddock,26,MTL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,8:24,0,6,0,0,
31,Sven Baertschi,29,VEG,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,13:54,0,0,0,0,
32,Kevin Bahl,21,NJD,D,17,1,3,4,-6,10,0.3,1,0,0,0,3,0,0,16,6.3,268,15:45,15,28,0,0,
33,Josh Bailey,32,NYI,C,74,14,30,44,-7,6,3.7,12,2,0,1,21,9,0,87,16.1,1250,16:53,26,19,43,67,39.1
34,Justin Bailey,26,VAN,RW,14,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,16,0.0,127,9:05,6,12,0,1,0.0
35,Rudolfs Balcers,24,SJS,LW,61,11,12,23,-3,20,2.0,11,0,0,1,11,0,1,98,11.2,917,15:02,43,115,8,12,40.0
36,Alexander Barabanov,27,SJS,F,70,10,29,39,-5,14,3.0,8,2,0,1,23,6,0,103,9.7,1203,17:11,39,53,0,1,0.0
37,Ivan Barbashev,26,STL,C,81,26,34,60,4,40,5.9,21,4,1,2,28,5,1,111,23.4,1332,16:26,28,160,131,197,39.9
38,Riley Barber,27,DET,RW,4,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,4,0.0,34,8:27,1,3,0,0,
39,Aleksander Barkov,26,FLA,C,67,39,49,88,36,18,10.6,23,12,4,5,34,14,1,214,18.2,1360,20:18,42,50,713,539,56.9
40,Alex Barre-Boulet,24,TOT,F,16,3,3,6,0,4,0.6,3,0,0,0,2,1,0,16,18.8,176,11:00,3,10,6,9,40.0
41,Tyson Barrie,30,EDM,D,73,7,34,41,3,18,5.7,4,3,0,0,15,18,1,149,4.7,1384,18:58,73,27,0,0,
42,Justin Barron,20,TOT,D,7,1,1,2,-3,0,0.2,1,0,0,0,1,0,0,13,7.7,120,17:11,5,5,0,0,
43,Morgan Barron,23,TOT,C,27,2,3,5,-4,8,0.1,2,0,0,0,3,0,0,33,6.1,265,9:48,8,49,30,24,55.6
44,Mathew Barzal,24,NYI,C,73,15,44,59,-15,18,4.9,14,1,0,1,25,19,0,161,9.3,1315,18:01,17,36,234,271,46.3
45,Nathan Bastian,24,TOT,RW,72,12,6,18,-12,65,1.1,9,3,0,1,5,1,0,97,12.4,857,11:54,40,210,23,25,47.9
46,Drake Batherson,23,OTT,C,46,17,27,44,4,32,4.9,14,3,0,3,16,11,0,110,15.5,871,18:56,15,89,18,25,41.9
47,Gavin Bayreuther,27,CBJ,D,43,0,8,8,0,22,1.1,0,0,0,0,8,0,0,44,0.0,561,13:03,45,50,0,0,
48,Jay Beagle,36,ARI,RW,33,1,1,2,-20,27,-1.2,1,0,0,0,1,0,0,24,4.2,455,13:47,16,50,265,199,57.1
49,Jake Bean,23,CBJ,D,67,7,18,25,-5,26,3.6,7,0,0,2,13,4,1,90,7.8,1378,20:34,71,41,0,0,
50,Ethan Bear,24,CAR,D,58,5,9,14,1,20,2.9,5,0,0,2,8,1,0,97,5.2,933,16:05,41,55,0,0,
51,Nicolas Beaudin,22,CHI,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,6:10,1,0,0,0,
52,Nathan Beaulieu,29,WPG,D,24,0,4,4,-7,25,0.1,0,0,0,0,3,0,1,24,0.0,258,10:46,19,19,0,0,
53,Anthony Beauvillier,24,NYI,LW,75,12,22,34,-10,12,2.4,7,5,0,1,16,6,0,154,7.8,1263,16:50,20,39,4,6,40.0
54,Adam Beckman,20,MIN,LW,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,4,0.0,31,10:25,1,1,0,0,
55,Pierre-Edouard Bellemare,36,TBL,LW,80,9,11,20,24,19,1.7,8,0,1,1,11,0,0,72,12.5,1101,13:45,44,88,483,452,51.7
56,Kieffer Bellows,23,NYI,LW,45,6,13,19,-1,19,1.7,6,0,0,2,9,4,0,79,7.6,534,11:52,14,103,0,1,0.0
57,Alex Belzile,30,MTL,F,11,0,0,0,0,4,-0.2,0,0,0,0,0,0,0,13,0.0,114,10:24,5,17,8,11,42.1
58,Emil Bemstrom,22,CBJ,C,41,6,5,11,-1,4,0.8,6,0,0,1,5,0,0,62,9.7,431,10:31,6,36,2,2,50.0
59,Matthew Beniers,19,SEA,C,10,3,6,9,-1,0,0.9,1,2,0,0,4,2,0,18,16.7,169,16:56,4,7,39,53,42.4
60,Jamie Benn,32,DAL,LW,82,18,28,46,-13,88,3.7,14,3,1,2,20,8,0,182,9.9,1373,16:45,60,143,492,399,55.2
61,Jordie Benn,34,MIN,D,39,1,7,8,1,10,0.9,1,0,0,0,7,0,0,37,2.7,584,14:59,41,51,0,0,
62,Sam Bennett,25,FLA,C,71,28,21,49,27,74,5.8,23,5,0,7,16,4,1,241,11.6,1203,16:57,27,119,411,466,46.9
63,Matt Benning,27,NSH,D,65,0,11,11,-24,39,0.2,0,0,0,0,11,0,0,61,0.0,1062,16:20,67,82,0,0,
64,Simon Benoit,23,ANA,D,53,1,4,5,-5,22,1.2,1,0,0,0,4,0,0,45,2.2,747,14:06,39,168,0,0,
65,Tyler Benson,23,EDM,LW,29,1,1,2,-5,18,-0.3,1,0,0,0,1,0,0,18,5.6,248,8:33,3,45,0,1,0.0
66,Patrice Bergeron,36,BOS,C,73,25,40,65,26,32,7.6,17,8,0,4,22,15,3,293,8.5,1326,18:10,45,78,991,609,61.9
67,Jacob Bernard-Docker,21,OTT,D,8,0,1,1,1,4,0.3,0,0,0,0,1,0,0,6,0.0,118,14:46,3,4,0,0,
68,Tyler Bertuzzi,26,DET,LW,68,30,32,62,-11,47,6.4,23,6,1,5,23,8,1,180,16.7,1351,19:52,41,65,6,17,26.1
69,Alex Biega,33,TOR,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,26,13:07,1,5,0,0,
70,Brandon Biro,23,BUF,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,14,13:30,0,1,0,0,
71,Clark Bishop,25,OTT,C,9,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,8,0.0,75,8:21,3,12,3,3,50.0
72,Anders Bjork,25,BUF,LW,58,5,3,8,-14,10,-0.3,5,0,0,0,3,0,0,51,9.8,698,12:02,16,11,1,4,20.0
73,Kasper Bjorkqvist,24,PIT,RW,6,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,8,12.5,50,8:22,2,9,0,0,
74,Oliver Bjorkstrand,26,CBJ,RW,80,28,29,57,-35,16,4.4,19,9,0,1,19,10,0,215,13.0,1436,17:57,31,85,10,13,43.5
75,Tobias Bjornfot,20,LAK,D,70,0,8,8,-12,6,1.1,0,0,0,0,8,0,0,53,0.0,1173,16:46,58,61,0,0,
76,Nick Bjugstad,29,MIN,C,57,7,6,13,-2,20,0.6,6,1,0,0,6,0,0,81,8.6,585,10:16,14,99,141,114,55.3
77,Colin Blackwell,28,TOT,C,58,10,10,20,0,14,1.8,8,0,2,1,10,0,0,77,13.0,692,11:56,24,91,83,86,49.1
78,Sammy Blais,25,NYR,LW,14,0,4,4,3,17,0.2,0,0,0,0,4,0,0,17,0.0,188,13:28,8,37,1,4,20.0
79,Nick Blankenburg,23,CBJ,D,7,1,2,3,-3,4,0.2,0,1,0,1,2,0,0,13,7.7,123,17:34,12,19,0,0,
80,Anton Blidh,26,BOS,LW,32,2,7,9,-3,24,0.4,2,0,0,0,7,0,0,28,7.1,343,10:44,17,82,0,3,0.0
81,Teddy Blueger,27,PIT,C,65,9,19,28,12,10,2.3,8,0,1,0,18,0,1,93,9.7,976,15:01,32,87,357,315,53.1
82,Brock Boeser,24,VAN,RW,71,23,23,46,-5,20,4.4,12,11,0,6,16,6,1,195,11.8,1321,18:36,26,35,27,26,50.9
83,Zach Bogosian,31,TBL,D,48,3,5,8,2,53,1.8,3,0,0,1,5,0,0,60,5.0,737,15:22,34,114,0,0,
84,Matt Boldy,20,MIN,LW,47,15,24,39,17,10,4.3,12,3,0,2,17,7,0,113,13.3,723,15:23,24,23,9,15,37.5
85,Nick Bonino,33,SJS,C,80,16,10,26,-25,18,1.4,12,3,1,0,6,4,0,137,11.7,1336,16:42,102,34,475,450,51.4
86,Adam Boqvist,21,CBJ,D,52,11,11,22,-11,12,2.9,8,3,0,1,8,3,0,64,17.2,886,17:03,47,26,0,0,
87,Jesper Boqvist,23,NJD,C,56,10,13,23,-9,10,1.7,10,0,0,1,12,1,0,74,13.5,735,13:08,16,31,168,282,37.3
88,Thomas Bordeleau,20,SJS,C,8,0,5,5,-1,0,0.3,0,0,0,0,4,1,0,13,0.0,125,15:35,4,3,40,49,44.9
89,William Borgen,25,SEA,D,36,2,6,8,1,28,1.6,2,0,0,0,6,0,0,49,4.1,550,15:17,33,89,0,0,
90,Henrik Borgström,24,CHI,C,52,4,3,7,-14,22,-0.2,4,0,0,0,2,1,0,41,9.8,547,10:31,19,26,82,122,40.2
91,Mark Borowiecki,32,NSH,D,57,0,4,4,-9,151,0.3,0,0,0,0,4,0,0,45,0.0,747,13:07,79,196,0,0,
92,Robert Bortuzzo,32,STL,D,73,1,5,6,-4,36,0.8,1,0,0,0,5,0,0,47,2.1,1003,13:44,98,135,0,0,
93,Evan Bouchard,22,EDM,D,81,12,31,43,10,28,7.0,10,2,0,1,25,5,1,205,5.9,1604,19:48,112,80,0,0,
94,Madison Bowey,26,VAN,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,0,,31,15:44,2,4,0,0,
95,Travis Boyd,28,ARI,C,74,17,18,35,-10,34,2.7,15,2,0,2,16,2,0,88,19.3,1222,16:31,55,71,420,507,45.3
96,Brian Boyle,37,PIT,C,66,11,10,21,6,27,2.1,10,0,1,1,10,0,0,87,12.6,712,10:47,39,95,165,200,45.2
97,Tyler Bozak,35,STL,C,50,3,9,12,-11,14,-0.1,2,0,1,1,7,1,1,46,6.5,609,12:10,21,20,175,212,45.2
98,Erik Brannstrom,22,OTT,D,53,0,14,14,-17,30,1.4,0,0,0,0,8,6,0,86,0.0,1048,19:46,59,39,0,0,
99,Derick Brassard,34,TOT,C,46,8,11,19,4,16,1.9,7,1,0,1,10,1,0,62,12.9,594,12:55,6,82,169,161,51.2
100,Jesper Bratt,23,NJD,W,76,26,47,73,0,16,7.4,23,3,0,6,32,15,0,197,13.2,1325,17:26,30,26,0,3,0.0
101,Justin Braun,34,TOT,D,69,6,12,18,2,36,3.9,6,0,0,0,12,0,0,73,8.2,1349,19:33,121,87,0,0,
102,Bobby Brink,20,PHI,RW,10,0,4,4,-5,0,0.0,0,0,0,0,3,1,0,18,0.0,154,15:27,2,15,3,1,75.0
103,Guillaume Brisebois,24,VAN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,4,4:13,1,0,0,0,
104,Philip Broberg,20,EDM,D,23,1,2,3,-8,8,0.0,1,0,0,0,2,0,0,29,3.4,310,13:28,10,10,0,0,
105,T.J. Brodie,31,TOR,D,82,4,24,28,20,34,5.2,4,0,0,0,21,1,2,68,5.9,1748,21:19,106,53,0,0,
106,Jonas Brodin,28,MIN,D,73,5,25,30,9,18,4.0,4,1,0,1,18,6,1,126,4.0,1711,23:26,126,42,0,0,
107,Jonny Brodzinski,28,NYR,C,22,1,1,2,1,10,0.0,1,0,0,0,1,0,0,34,2.9,239,10:51,8,8,49,48,50.5
108,Adam Brooks,25,TOT,C,25,2,1,3,2,2,0.2,2,0,0,2,1,0,0,14,14.3,224,8:57,6,11,23,34,40.4
109,Connor Brown,28,OTT,RW,64,10,29,39,-15,10,2.4,9,0,1,0,17,9,3,121,8.3,1284,20:03,37,14,48,85,36.1
110,Dustin Brown,37,LAK,RW,64,9,19,28,-3,20,2.1,8,1,0,0,17,2,0,146,6.2,943,14:44,20,88,2,8,20.0
111,Josh Brown,28,TOT,D,52,0,6,6,-7,37,1.0,0,0,0,0,6,0,0,45,0.0,739,14:13,62,118,0,0,
112,Logan Brown,23,STL,C,39,4,7,11,-3,8,0.6,4,0,0,0,6,1,0,34,11.8,397,10:11,13,22,66,102,39.3
113,Patrick Brown,29,PHI,C,44,4,5,9,-16,11,-0.1,4,0,0,0,5,0,0,51,7.8,547,12:26,36,100,242,172,58.5
114,Jacob Bryson,24,BUF,D,73,1,9,10,-9,12,2.0,0,1,0,0,3,6,0,43,2.3,1338,18:20,73,55,0,0,
115,Pavel Buchnevich,26,STL,LW,73,30,46,76,29,34,8.7,20,8,2,3,33,11,2,199,15.1,1336,18:18,15,57,13,26,33.3
116,Connor Bunnaman,23,PHI,F,15,0,0,0,-7,4,-0.5,0,0,0,0,0,0,0,10,0.0,150,10:01,2,17,57,50,53.3
117,Michael Bunting,26,TOR,LW,79,23,40,63,27,80,6.9,21,2,0,2,37,3,0,175,13.1,1228,15:33,21,85,8,8,50.0
118,Andre Burakovsky,26,COL,LW,80,22,39,61,12,18,5.9,18,4,0,5,32,7,0,149,14.8,1301,16:16,34,49,8,12,40.0
119,Brent Burns,36,SJS,D,82,10,44,54,-15,42,8.5,6,4,0,0,29,14,1,203,4.9,2144,26:09,150,55,0,1,0.0
120,Kyle Burroughs,26,VAN,D,42,1,4,5,-3,39,0.9,1,0,0,0,4,0,0,39,2.6,543,12:56,59,122,0,0,
121,Will Butcher,27,BUF,D,37,2,6,8,-10,0,0.9,2,0,0,0,4,2,0,35,5.7,610,16:29,32,11,0,0,
122,Quinton Byfield,19,LAK,C,40,5,5,10,-7,20,0.5,5,0,0,1,4,1,0,39,12.8,486,12:09,11,20,124,149,45.4
123,Bowen Byram,20,COL,D,30,5,12,17,7,12,2.9,4,1,0,2,12,0,0,49,10.2,564,18:48,26,53,0,0,
124,Paul Byron,32,MTL,LW,27,4,3,7,-8,2,0.2,4,0,0,2,3,0,0,33,12.1,340,12:36,7,66,33,36,47.8
125,Drake Caggiula,27,BUF,LW,18,2,3,5,-4,4,0.2,2,0,0,1,2,1,0,23,8.7,263,14:38,7,17,1,3,25.0
126,Kyle Capobianco,24,ARI,D,45,2,7,9,-12,38,1.0,1,1,0,1,6,1,0,40,5.0,720,16:00,46,43,0,0,
127,Michael Carcone,25,ARI,F,21,4,2,6,-8,14,0.3,4,0,0,0,2,0,0,36,11.1,259,12:19,7,31,0,7,0.0
128,Brandon Carlo,25,BOS,D,79,6,9,15,2,31,3.9,5,0,1,0,8,1,0,125,4.8,1557,19:42,104,143,0,0,
129,John Carlson,32,WSH,D,78,17,54,71,13,20,11.0,10,7,0,2,33,18,3,195,8.7,1857,23:49,112,73,0,0,
130,Gabriel Carlsson,25,CBJ,D,38,2,7,9,6,10,1.8,2,0,0,0,7,0,0,18,11.1,466,12:16,33,27,0,0,
131,Lucas Carlsson,24,FLA,D,40,3,6,9,3,10,1.3,3,0,0,0,6,0,0,41,7.3,508,12:43,29,39,0,0,
132,Ryan Carpenter,31,TOT,C,67,3,9,12,-11,36,-0.2,3,0,0,2,8,1,0,67,4.5,843,12:35,44,136,200,188,51.5
133,Sam Carrick,29,ANA,C,64,11,8,19,-12,85,1.4,11,0,0,0,8,0,0,80,13.8,734,11:28,21,122,204,209,49.4
134,Alexandre Carrier,25,NSH,D,77,3,27,30,26,50,6.4,2,1,0,0,23,3,1,95,3.2,1616,20:59,124,95,0,1,0.0
135,William Carrier,27,VEG,LW,63,9,11,20,7,34,1.8,9,0,0,0,11,0,0,120,7.5,732,11:37,24,159,4,4,50.0
136,Jeff Carter,37,PIT,C,76,19,26,45,-8,38,3.6,15,3,1,2,23,3,0,200,9.5,1343,17:40,50,99,648,489,57.0
137,Jackson Cates,24,PHI,C,11,1,0,1,-2,0,0.0,1,0,0,0,0,0,0,8,12.5,100,9:05,3,4,20,13,60.6
138,Noah Cates,22,PHI,LW,16,5,4,9,4,4,1.2,4,1,0,1,4,0,0,23,21.7,212,13:15,6,21,0,7,0.0
139,Cole Caufield,21,MTL,RW,67,23,20,43,-24,10,3.7,18,5,0,3,12,8,0,188,12.2,1118,16:41,7,18,5,5,50.0
140,Cody Ceci,28,EDM,D,78,5,23,28,8,14,4.7,5,0,0,0,20,0,3,102,4.9,1630,20:54,121,117,0,0,
141,Erik Cernak,24,TBL,D,55,1,12,13,7,46,2.6,1,0,0,0,12,0,0,86,1.2,1053,19:09,73,165,0,0,
142,Thomas Chabot,25,OTT,D,59,7,31,38,-3,26,6.1,6,1,0,1,19,12,0,173,4.0,1545,26:12,93,73,0,0,
143,Mitchell Chaffee,24,MIN,F,2,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,15,7:27,0,7,0,0,
144,Zdeno Chara,44,NYI,D,72,2,12,14,8,85,3.9,2,0,0,0,12,0,0,81,2.5,1349,18:44,90,125,0,0,
145,Jalen Chatfield,25,CAR,D,16,0,3,3,1,8,0.6,0,0,0,0,3,0,0,25,0.0,237,14:47,10,32,0,0,
146,Ben Chiarot,30,TOT,D,74,9,17,26,-14,48,3.3,7,2,0,1,15,1,1,143,6.3,1691,22:51,130,157,0,0,
147,Alex Chiasson,31,VAN,RW,67,13,9,22,4,24,2.3,7,6,0,2,5,4,0,98,13.3,779,11:37,18,68,10,13,43.5
148,Yegor Chinakhov,20,CBJ,RW,62,7,7,14,-27,16,-0.3,6,1,0,1,7,0,0,98,7.1,775,12:30,16,50,0,6,0.0
149,Declan Chisholm,22,WPG,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,4,0.0,26,12:57,1,1,0,0,
150,Sasha Chmelevski,22,SJS,C,19,0,8,8,2,4,0.5,0,0,0,0,8,0,0,31,0.0,251,13:11,4,20,31,48,39.2
151,Dennis Cholowski,23,TOT,D,11,0,3,3,-3,2,0.2,0,0,0,0,3,0,0,11,0.0,174,15:49,13,5,0,0,
152,Jake Christiansen,22,CBJ,D,8,1,0,1,1,0,0.3,1,0,0,0,0,0,0,4,25.0,78,9:46,6,9,0,0,
153,Jakob Chychrun,23,ARI,D,47,7,14,21,-20,47,2.4,6,1,0,2,14,0,0,141,5.0,1081,23:00,66,51,0,0,
154,Filip Chytil,22,NYR,C,67,8,14,22,-1,14,1.5,8,0,0,1,13,1,0,135,5.9,883,13:11,27,24,135,176,43.4
155,Anthony Cirelli,24,TBL,C,76,17,26,43,15,70,3.9,13,3,1,4,21,5,0,146,11.6,1392,18:19,67,75,441,507,46.5
156,Casey Cizikas,30,NYI,C,74,10,6,16,-3,48,1.0,9,0,1,3,6,0,0,91,11.0,1017,13:45,43,138,534,427,55.6
157,Fredrik Claesson,29,TBL,D,9,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,89,9:52,6,12,0,0,
158,Kale Clague,23,TOT,D,36,2,8,10,-10,20,1.0,2,0,0,0,5,3,0,26,7.7,603,16:44,23,14,0,0,
159,Kyle Clifford,31,TOT,LW,25,1,3,4,-5,31,-0.1,1,0,0,0,3,0,0,29,3.4,220,8:48,5,50,3,4,42.9
160,Connor Clifton,26,BOS,D,60,2,8,10,-2,32,2.1,2,0,0,0,8,0,0,80,2.5,964,16:04,62,156,0,0,
161,Cal Clutterbuck,34,NYI,RW,59,6,9,15,-6,10,0.7,5,0,1,1,9,0,0,74,8.1,828,14:03,23,229,11,4,73.3
162,Dylan Coghlan,23,VEG,D,59,3,10,13,-5,18,1.8,1,2,0,1,8,2,0,108,2.8,838,14:12,61,62,0,0,
163,Andrew Cogliano,34,TOT,LW,74,4,12,16,-18,20,0.0,3,0,1,0,11,0,1,75,5.3,938,12:40,31,104,8,13,38.1
164,Ian Cole,32,CAR,D,75,2,17,19,15,83,4.4,2,0,0,1,16,0,1,77,2.6,1286,17:09,104,110,0,0,
165,Blake Coleman,30,CGY,C,81,16,17,33,16,60,3.2,15,0,1,2,16,0,1,212,7.5,1200,14:49,44,163,2,17,10.5
166,Ross Colton,25,TBL,C,79,22,17,39,4,24,4.2,21,1,0,4,13,4,0,159,13.8,1011,12:48,36,153,303,278,52.2
167,Blake Comeau,35,DAL,RW,6,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,2,50.0,69,11:28,3,13,1,0,100.0
168,J.T. Compher,26,COL,LW,70,18,15,33,6,25,2.9,13,4,1,0,13,2,0,102,17.6,1143,16:19,55,31,338,319,51.4
169,Max Comtois,23,ANA,LW,52,6,10,16,-17,46,0.4,6,0,0,0,8,2,0,72,8.3,735,14:08,17,111,22,24,47.8
170,Kevin Connauton,31,TOT,D,39,1,2,3,-3,4,0.5,1,0,0,0,2,0,0,30,3.3,510,13:05,32,74,0,0,
171,Brett Connolly,29,CHI,RW,9,0,1,1,-3,15,-0.1,0,0,0,0,1,0,0,6,0.0,76,8:24,3,7,0,0,
172,Kyle Connor,25,WPG,LW,79,47,46,93,-3,4,10.6,36,8,3,9,26,20,0,317,14.8,1720,21:47,23,32,1,6,14.3
173,Andrew Copp,27,TOT,C,72,21,32,53,15,16,5.4,16,3,2,5,24,7,1,183,11.5,1381,19:11,41,45,377,332,53.2
174,Paul Cotter,22,VEG,C,7,2,0,2,1,6,0.3,2,0,0,0,0,0,0,11,18.2,62,8:49,1,17,0,1,0.0
175,Nick Cousins,28,NSH,C,68,9,13,22,-8,31,1.2,6,3,0,1,12,1,0,103,8.7,848,12:28,28,66,23,26,46.9
176,Logan Couture,32,SJS,C,77,23,33,56,-11,18,5.4,16,5,2,3,20,12,1,199,11.6,1458,18:56,58,92,621,654,48.7
177,Sean Couturier,29,PHI,C,29,6,11,17,-6,14,1.2,4,2,0,2,7,3,1,79,7.6,591,20:24,18,22,238,190,55.6
178,Charlie Coyle,29,BOS,C,82,16,28,44,-6,32,3.4,13,3,0,5,21,6,1,131,12.2,1427,17:24,39,84,540,560,49.1
179,Dylan Cozens,20,BUF,C,79,13,25,38,-19,55,2.4,11,2,0,1,17,7,1,160,8.1,1256,15:54,22,35,383,457,45.6
180,Joseph Cramarossa,29,MIN,C,1,0,1,1,0,2,0.1,0,0,0,0,1,0,0,1,0.0,7,6:55,0,1,0,0,
181,Kyle Criscuolo,29,DET,C,6,0,2,2,1,2,0.1,0,0,0,0,2,0,0,5,0.0,57,9:33,1,6,4,9,30.8
182,Sidney Crosby,34,PIT,C,69,31,53,84,19,32,9.4,23,8,0,9,31,22,0,208,14.9,1378,19:58,37,50,760,690,52.4
183,Lawson Crouse,24,ARI,LW,65,20,14,34,-9,52,3.0,16,3,1,4,10,4,0,131,15.3,1133,17:26,36,181,16,32,33.3
184,Austin Czarnik,29,TOT,C,17,2,5,7,5,0,0.8,2,0,0,0,5,0,0,14,14.3,185,10:54,7,3,23,36,39.0
185,Kirby Dach,21,CHI,C,70,9,17,26,-18,43,0.9,7,2,0,0,12,4,1,116,7.8,1263,18:03,44,49,179,366,32.8
186,Evgenii Dadonov,32,VEG,RW,78,20,23,43,4,18,4.2,15,5,0,4,20,3,0,177,11.3,1234,15:49,25,65,1,4,20.0
187,Jonathan Dahlen,24,SJS,C,61,12,10,22,-25,12,1.3,9,3,0,2,6,4,0,105,11.4,841,13:48,34,16,0,1,0.0
188,Rasmus Dahlin,21,BUF,D,80,13,40,53,-22,68,7.1,10,3,0,3,21,18,1,170,7.6,1921,24:01,91,121,0,0,
