,Player,Age,Team,Position,GamesPlayed,Goals,Assists,Points,PlusMinus,PenaltyMinutes,PointShare,EV,PP,SH,GW,EV.1,PP.1,SH.1,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,Pos,GP,GoalsCreated,GoalsPerGame,AssistsPerGame,PointsPerGame,GoalsCreatedPerGame,PenaltyMinutesPerGame,ShotsPerGame,AdjustedGoals,AdjustedAssists,AdjustedPts,AdjustedGoalsCreated,TGF,PGF,TGA,PGA,xGF,xGA,ExpectedPlusMinus,OPS,DPS,PointShares
531,Anders Lee,31,NYI,LW,76,28,18,46,-11,34,5.1,19,9,0,3,14,4,0,159,17.6,1264,998,30,94,65,69,48.5,1031,1121,47.9,2.2,756,866,46.6,-0.2,11.0,89.0,100.1,59.5,40.5,998,856,16,25,266,59.8,LW,76,20,0.37,0.24,0.61,0.27,0.45,2.09,27,17,44,19,87,26,72,0,50.1,55.9,-5.8,3.7,1.4,5.1
532,Artturi Lehkonen,26,TOT,LW,74,19,19,38,1,22,3.7,15,2,2,2,18,1,0,155,12.3,1117,906,39,82,8,21,27.6,891,819,52.1,4.7,660,626,51.3,4.8,7.9,91.2,99.1,46.4,53.6,906,731,18,16,269,57.6,LW,74,15,0.26,0.26,0.51,0.21,0.3,2.09,19,18,37,15,50,8,60,19,42.4,35.2,7.2,2.4,1.3,3.7
534,Brendan Lemieux,25,LAK,LW,50,8,5,13,1,97,1.3,8,0,0,2,5,0,0,65,12.3,537,645,17,122,11,13,45.8,527,405,56.5,3.1,396,304,56.6,2.0,7.9,89.5,97.4,55.1,44.9,645,634,11,17,132,49.2,LW,50,6,0.16,0.1,0.26,0.12,1.94,1.3,8,5,13,6,23,0,23,1,25.3,18.3,7.0,0.6,0.7,1.3
535,John Leonard,23,SJS,LW,14,1,1,2,-5,0,-0.1,1,0,0,0,0,1,0,25,4.0,158,677,8,13,1,1,50.0,107,164,39.5,-7.2,84,116,42.0,-4.8,3.4,90.3,93.7,48.0,52.0,677,624,1,5,36,69.4,LW,14,1,0.07,0.07,0.14,0.06,0.0,1.79,1,1,2,1,3,1,7,0,4.0,6.4,-2.5,-0.2,0.1,-0.1
536,Jake Leschyshyn,22,VEG,C,41,2,4,6,-2,8,-0.1,2,0,0,0,4,0,0,35,5.7,463,678,23,45,122,143,46.0,314,463,40.4,-13.6,236,330,41.7,-13.4,8.0,93.8,101.8,45.5,54.5,678,628,13,4,61,57.4,C,41,2,0.05,0.1,0.15,0.05,0.2,0.85,2,4,6,2,14,0,23,7,15.5,23.6,-8.2,-0.5,0.4,-0.1
537,Kris Letang,34,PIT,D,78,10,58,68,20,49,10.6,8,2,0,3,38,20,0,214,4.7,2011,1547,122,171,0,0,,1613,1535,51.2,-1.2,1247,1180,51.4,-2.4,10.4,91.8,102.3,53.8,46.2,1547,1254,59,79,403,53.1,D,78,21,0.13,0.74,0.87,0.27,0.63,2.74,10,55,65,20,142,43,88,9,75.9,73.1,2.8,5.0,5.7,10.6
538,Vinni Lettieri,26,ANA,C,31,5,5,10,-8,6,0.6,3,2,0,0,2,3,0,50,10.0,388,751,17,40,12,11,52.2,301,343,46.7,-0.1,221,259,46.0,-0.7,5.2,91.8,97.0,64.1,35.9,751,651,6,10,86,58.1,C,31,4,0.16,0.16,0.32,0.13,0.19,1.61,5,5,10,4,16,8,16,0,11.3,16.2,-4.8,0.4,0.2,0.6
540,Trevor Lewis,35,CGY,C,80,6,10,16,-1,12,0.3,5,0,1,1,9,1,0,108,5.6,1027,770,40,176,77,105,42.3,773,759,50.5,-6.5,597,583,50.6,-5.8,7.0,92.4,99.4,55.0,45.0,770,661,11,9,180,60.0,C,80,6,0.08,0.13,0.2,0.07,0.15,1.35,6,9,15,6,32,1,40,8,30.9,32.8,-1.9,-0.7,1.0,0.3
541,Timothy Liljegren,22,TOR,D,61,5,18,23,15,14,4.2,4,1,0,0,17,1,0,79,6.3,1000,984,60,87,0,0,,938,776,54.7,2.1,711,572,55.4,3.5,11.2,89.2,100.4,53.7,46.3,984,902,19,43,162,48.8,D,61,8,0.08,0.3,0.38,0.12,0.23,1.3,5,17,22,7,62,2,52,7,47.2,35.9,11.2,1.5,2.7,4.2
542,Kole Lind,23,SEA,RW,23,2,6,8,-1,12,0.5,2,0,0,0,6,0,0,31,6.5,272,710,10,18,6,11,35.3,225,217,50.9,1.3,168,168,50.0,0.7,9.2,90.6,99.9,51.2,48.8,710,703,7,3,47,66.0,RW,23,3,0.09,0.26,0.35,0.12,0.52,1.35,2,6,8,3,11,0,12,0,8.3,11.2,-2.9,0.2,0.3,0.5
543,Oskar Lindblom,25,PHI,LW,79,12,14,26,-11,22,1.7,12,0,0,1,13,1,0,127,9.4,1090,828,48,83,8,14,36.4,841,1017,45.3,-2.1,626,749,45.5,-1.8,7.9,90.5,98.4,45.1,54.9,828,745,19,18,212,59.9,LW,79,10,0.15,0.18,0.33,0.13,0.28,1.61,12,13,25,10,41,2,59,9,36.7,43.2,-6.6,0.7,1.0,1.7
545,Esa Lindell,27,DAL,D,76,4,21,25,4,12,5.5,3,0,1,0,16,3,2,136,2.9,1675,1323,148,111,0,1,0.0,1159,1396,45.4,-5.1,887,999,47.0,-2.8,8.9,92.1,101.0,44.0,56.0,1323,1138,20,55,211,64.5,D,76,8,0.05,0.28,0.33,0.1,0.16,1.79,4,20,24,8,65,4,91,34,53.4,58.1,-4.7,0.7,4.7,5.5
546,Ryan Lindgren,23,NYR,D,78,4,11,15,18,48,5.1,4,0,0,1,11,0,0,73,5.5,1568,1206,141,129,0,0,,1134,1230,48.0,0.3,868,912,48.8,0.9,9.4,92.8,102.2,54.3,45.7,1206,1063,19,32,154,47.4,D,78,5,0.05,0.14,0.19,0.07,0.62,0.94,4,10,14,5,64,0,61,15,51.4,51.6,-0.1,-0.1,5.2,5.1
547,Elias Lindholm,27,CGY,C,82,42,40,82,61,22,11.4,31,10,1,9,30,9,1,235,17.9,1635,1197,52,66,842,750,52.9,1307,1011,56.4,1.4,999,787,55.9,1.3,15.1,91.4,106.6,53.3,46.7,1197,896,55,41,381,61.9,C,82,34,0.51,0.49,1.0,0.41,0.27,2.87,41,38,79,33,149,38,70,20,68.7,44.2,24.4,7.5,3.9,11.4
548,Hampus Lindholm,28,TOT,D,71,5,22,27,10,46,5.8,4,1,0,1,17,4,1,142,3.5,1598,1350,92,70,0,0,,1242,1280,49.2,-0.6,977,987,49.7,-0.5,9.1,91.8,100.9,51.7,48.3,1350,1171,35,47,275,51.6,D,71,9,0.07,0.31,0.38,0.12,0.65,2.0,5,21,26,8,76,6,72,12,60.0,64.1,-4.1,1.1,4.7,5.8
549,Gustav Lindstrom,23,DET,D,63,1,12,13,-12,22,1.5,1,0,0,0,12,0,0,41,2.4,1015,967,77,59,0,0,,713,876,44.9,-2.5,536,652,45.1,-1.9,7.9,90.4,98.3,48.5,51.5,967,887,9,23,79,51.9,D,63,4,0.02,0.19,0.21,0.06,0.35,0.65,1,11,12,4,33,0,54,9,36.9,40.2,-3.3,0.1,1.3,1.5
550,Blake Lizotte,24,LAK,C,70,10,14,24,15,28,2.6,9,0,1,2,12,0,2,91,11.0,851,730,12,74,313,294,51.6,768,583,56.8,2.9,562,440,56.1,0.9,8.5,91.6,100.1,53.0,47.0,730,656,31,10,141,64.5,C,70,9,0.14,0.2,0.34,0.13,0.4,1.3,10,13,23,9,40,0,34,9,32.5,25.1,7.4,1.0,1.6,2.6
552,William Lockwood,23,VAN,RW,13,0,0,0,-3,9,-0.3,0,0,0,0,0,0,0,13,0.0,147,680,9,49,0,0,,107,127,45.7,-6.5,76,102,42.7,-9.9,5.8,92.0,97.8,47.1,52.9,680,669,1,2,24,54.2,RW,13,0,0.0,0.0,0.0,0.0,0.69,1.0,0,0,0,0,3,0,7,1,4.4,6.0,-1.6,-0.4,0.1,-0.3
554,Ryan Lomberg,27,FLA,LW,55,9,9,18,4,92,1.4,9,0,0,1,8,0,1,91,9.9,627,684,7,117,1,6,14.3,597,452,56.9,0.6,437,333,56.8,0.4,7.9,91.1,99.0,43.0,57.0,684,611,18,9,162,56.2,LW,55,7,0.16,0.16,0.33,0.13,1.67,1.65,9,9,18,7,27,0,32,9,27.2,20.2,7.0,0.9,0.5,1.4
555,Steven Lorentz,25,CAR,C,67,8,5,13,0,8,0.8,8,0,0,1,5,0,0,80,10.0,730,653,13,67,51,61,45.5,690,563,55.1,-0.7,534,423,55.8,0.7,6.1,92.6,98.7,56.3,43.7,653,625,24,17,142,56.3,C/LW,67,6,0.12,0.07,0.19,0.08,0.12,1.19,8,5,13,6,23,0,25,2,30.7,26.9,3.8,0.0,0.8,0.8
556,Adam Lowry,28,WPG,LW,79,13,8,21,1,59,1.3,10,0,3,0,4,2,2,115,11.3,1223,929,43,231,564,500,53.0,812,892,47.7,-2.4,620,675,47.9,-2.2,5.9,93.6,99.4,41.3,58.7,929,735,39,23,194,59.3,LW,79,9,0.16,0.1,0.27,0.12,0.75,1.46,13,8,21,9,40,7,63,31,36.3,39.6,-3.2,-0.1,1.4,1.3
557,Milan Lucic,33,CGY,LW,82,10,11,21,-9,84,0.9,8,2,0,0,10,1,0,95,10.5,1005,735,22,209,19,15,55.9,883,780,53.1,-2.9,664,625,51.5,-4.4,6.5,91.2,97.7,58.3,41.7,735,666,20,41,171,55.6,LW,82,8,0.12,0.13,0.26,0.1,1.02,1.16,10,10,20,8,39,9,39,0,33.5,32.3,1.2,0.2,0.7,0.9
558,Matt Luff,24,NSH,RW,23,3,3,6,3,4,0.6,3,0,0,1,3,0,0,26,11.5,216,564,4,29,2,0,100.0,176,206,46.1,-1.2,131,154,46.0,-1.5,12.2,94.0,106.2,37.4,62.6,564,558,3,3,43,60.5,RW,23,2,0.13,0.13,0.26,0.1,0.17,1.13,3,3,6,2,10,0,7,0,5.6,9.6,-4.0,0.3,0.4,0.6
559,Anton Lundell,20,FLA,C,65,18,26,44,33,18,5.0,16,1,1,4,20,3,3,125,14.4,1023,944,56,26,334,414,44.7,881,692,56.0,-0.7,637,499,56.1,-0.4,13.9,91.0,104.9,47.5,52.5,944,760,59,35,223,56.1,C,65,17,0.28,0.4,0.68,0.26,0.28,1.92,17,25,42,16,76,7,62,26,43.2,32.8,10.4,3.1,1.9,5.0
560,Isac Lundestrom,22,ANA,C,80,16,13,29,-3,8,2.4,12,0,4,3,13,0,0,83,19.3,1239,929,55,38,391,488,44.5,767,1024,42.8,-6.0,591,776,43.2,-5.6,8.7,92.1,100.8,34.1,65.9,929,787,22,31,145,57.9,C,80,12,0.2,0.16,0.36,0.15,0.1,1.04,15,12,27,11,42,1,67,23,34.4,43.8,-9.4,0.9,1.5,2.4
561,Nils Lundkvist,21,NYR,D,25,1,3,4,4,0,1.2,0,1,0,0,2,1,0,32,3.1,348,836,15,15,0,0,,231,320,41.9,-3.1,185,253,42.2,-4.3,9.4,95.1,104.5,55.1,44.9,836,739,3,15,59,54.2,D,25,1,0.04,0.12,0.16,0.05,0.0,1.28,1,3,4,1,15,2,10,1,11.7,15.7,-4.0,0.0,1.2,1.2
562,Eetu Luostarinen,23,FLA,C,78,9,17,26,1,12,1.2,7,0,2,4,15,1,1,84,10.7,1048,806,46,103,321,481,40.0,891,723,55.2,-1.9,651,534,54.9,-1.9,7.4,90.9,98.2,43.4,56.6,806,686,38,27,153,54.9,C,78,9,0.12,0.22,0.33,0.12,0.15,1.08,9,16,25,9,41,2,53,15,40.7,33.1,7.6,0.4,0.7,1.2
563,Ilya Lyubushkin,27,TOT,D,77,2,13,15,-2,51,2.6,2,0,0,0,12,0,1,54,3.7,1344,1047,92,187,0,0,,968,1055,47.8,-2.3,729,796,47.8,-2.5,9.8,91.1,100.9,41.6,58.4,1047,932,15,37,104,51.9,D,77,5,0.03,0.17,0.19,0.06,0.66,0.7,2,13,15,5,52,0,78,25,41.7,47.8,-6.1,0.0,2.6,2.6
564,Olli Maatta,27,LAK,D,66,1,7,8,17,10,3.4,1,0,0,0,7,0,0,61,1.6,1207,1097,94,67,0,0,,991,879,53.0,-0.9,770,642,54.5,-0.1,8.3,92.6,100.9,50.3,49.7,1097,983,10,37,139,43.9,D,66,3,0.02,0.11,0.12,0.04,0.15,0.92,1,7,8,2,52,1,49,15,44.2,38.9,5.3,-0.6,4.0,3.4
565,Matias Maccelli,21,ARI,LW,23,1,5,6,-10,4,-0.2,1,0,0,0,4,1,0,21,4.8,327,852,8,12,2,0,100.0,226,309,42.2,0.6,158,238,39.9,-0.3,7.9,89.2,97.1,44.7,55.3,852,773,10,19,42,50.0,LW,23,2,0.04,0.22,0.26,0.08,0.17,0.91,1,5,6,2,10,1,19,0,8.0,15.6,-7.7,-0.2,0.0,-0.2
566,Kurtis MacDermid,27,COL,D,58,2,3,5,1,89,0.9,2,0,0,0,3,0,0,46,4.3,429,444,22,105,0,0,,376,368,50.5,-3.2,263,283,48.2,-4.3,9.0,91.6,100.6,45.0,55.0,444,436,5,12,89,51.7,D,58,2,0.03,0.05,0.09,0.03,1.53,0.79,2,3,5,2,19,0,18,0,14.4,17.1,-2.7,0.1,0.8,0.9
568,Mackenzie MacEachern,27,STL,LW,14,0,2,2,-1,4,-0.1,0,0,0,0,2,0,0,14,0.0,112,478,1,19,0,0,,92,102,47.4,2.5,70,72,49.3,4.6,5.6,91.1,96.7,47.4,52.6,478,478,7,2,19,73.7,LW,14,1,0.0,0.14,0.14,0.04,0.29,1.0,0,2,2,1,3,0,4,0,5.2,4.1,1.2,-0.1,0.1,-0.1
569,Zack MacEwen,25,PHI,C,75,3,6,9,-15,110,-0.5,3,0,0,1,6,0,0,82,3.7,725,580,32,159,16,19,45.7,529,711,42.7,-5.1,412,526,43.9,-3.6,6.5,90.8,97.3,35.5,64.5,580,571,22,16,145,56.6,C,75,3,0.04,0.08,0.12,0.04,1.47,1.09,3,6,9,3,20,0,35,0,24.8,34.1,-9.2,-0.8,0.4,-0.5
572,Nathan MacKinnon,26,COL,C,65,32,56,88,22,42,9.7,25,7,0,5,36,20,0,299,10.7,1369,1264,39,68,383,461,45.4,1237,1034,54.5,3.3,912,800,53.3,3.2,12.7,89.7,102.4,59.8,40.2,1264,1035,37,56,501,59.7,C,65,32,0.49,0.86,1.35,0.5,0.65,4.6,31,53,84,31,124,37,65,0,54.8,49.9,4.9,7.7,2.0,9.7
573,Josh Mahura,23,ANA,D,38,3,4,7,-14,12,0.6,3,0,0,0,4,0,0,36,8.3,534,844,51,63,0,0,,438,543,44.6,-5.1,335,402,45.5,-3.9,6.4,89.2,95.6,48.9,51.1,844,829,5,17,82,43.9,D,38,3,0.08,0.11,0.18,0.07,0.32,0.95,3,4,7,3,16,0,31,1,21.3,22.7,-1.4,0.3,0.3,0.6
574,Cale Makar,23,COL,D,77,28,58,86,48,26,15.3,19,9,0,6,33,25,0,240,11.7,1976,1540,110,95,0,0,,1675,1310,56.1,5.6,1239,996,55.4,6.1,11.7,91.8,103.5,58.8,41.2,1540,1219,49,40,494,48.6,D,77,31,0.36,0.75,1.12,0.4,0.34,3.12,27,55,82,30,163,51,75,11,72.9,57.8,15.1,8.5,6.8,15.3
575,Beck Malenstyn,23,WSH,LW,12,1,0,1,2,9,0.1,1,0,0,0,0,0,0,10,10.0,109,543,7,34,1,6,14.3,86,73,54.1,1.0,64,55,53.8,1.8,10.4,92.5,102.9,31.8,68.2,543,498,2,1,17,58.8,LW,12,1,0.08,0.0,0.08,0.05,0.75,0.83,1,0,1,1,5,0,4,1,3.3,2.4,0.9,-0.1,0.2,0.1
576,Evgeni Malkin,35,PIT,C,41,20,22,42,-10,24,4.3,11,9,0,5,11,11,0,129,15.5,752,1100,18,21,164,212,43.6,608,510,54.4,2.7,463,394,54.0,1.6,8.6,88.4,97.0,64.4,35.6,1100,874,41,48,203,63.5,C,41,17,0.49,0.54,1.02,0.4,0.59,3.15,19,21,40,16,57,28,39,0,30.9,25.3,5.6,3.8,0.5,4.3
579,Mikhail Maltsev,23,COL,LW,18,0,0,0,-5,2,-0.5,0,0,0,0,0,0,0,23,0.0,145,484,2,31,44,32,57.9,136,112,54.8,5.0,102,90,53.1,5.2,2.6,89.9,92.5,46.1,53.9,484,457,7,1,38,60.5,LW,18,0,0.0,0.0,0.0,0.0,0.11,1.28,0,0,0,0,2,0,7,0,5.3,6.7,-1.5,-0.4,-0.1,-0.5
580,Maxim Mamin,27,FLA,C,40,7,7,14,8,13,1.3,7,0,0,0,7,0,0,49,14.3,476,714,17,59,0,2,0.0,486,409,54.3,-2.4,359,309,53.7,-2.8,10.4,90.9,101.3,52.2,47.8,714,707,9,19,81,60.5,C/RW,40,6,0.18,0.18,0.35,0.14,0.33,1.23,7,7,14,6,29,1,20,0,27.2,18.2,9.0,0.7,0.6,1.3
581,Andrew Mangiapane,25,CGY,LW,82,35,20,55,20,38,7.2,25,8,2,8,16,3,1,185,18.9,1290,944,32,73,21,34,38.2,1180,830,58.7,4.4,893,637,58.4,4.5,8.7,91.4,100.1,56.5,43.5,944,759,52,42,300,61.7,LW,82,25,0.43,0.24,0.67,0.3,0.46,2.26,34,19,53,24,76,17,50,11,57.7,36.3,21.4,5.2,2.0,7.2
582,Josh Manson,30,TOT,D,67,6,10,16,-11,65,2.6,6,0,0,0,10,0,0,92,6.5,1272,1139,70,179,0,0,,1019,1017,50.0,0.7,748,770,49.3,-0.3,7.3,90.8,98.2,40.6,59.4,1139,1009,38,43,172,53.5,D,67,6,0.09,0.15,0.24,0.09,0.97,1.37,6,10,16,6,41,0,67,15,44.6,43.9,0.8,0.6,2.0,2.6
583,Anthony Mantha,27,WSH,RW,37,9,14,23,4,14,2.3,9,0,0,0,12,2,0,82,11.0,561,910,18,46,3,1,75.0,472,402,54.0,4.9,365,285,56.2,5.3,11.3,88.6,99.9,50.4,49.6,910,796,13,13,132,62.1,RW,37,9,0.24,0.38,0.62,0.24,0.38,2.22,9,13,22,8,36,6,26,0,20.6,20.1,0.6,1.6,0.8,2.3
584,Brad Marchand,33,BOS,LW,70,32,48,80,16,97,9.3,23,7,2,6,28,20,0,242,13.2,1347,1155,20,78,14,27,34.1,1189,736,61.8,10.4,948,564,62.7,10.0,8.3,89.4,97.7,57.1,42.9,1155,850,40,62,397,61.0,LW,70,30,0.46,0.69,1.14,0.43,1.39,3.46,31,46,77,29,104,39,64,15,57.3,32.9,24.4,7.0,2.3,9.3
585,Jonathan Marchessault,31,VEG,C,76,30,36,66,3,36,7.2,25,5,0,4,21,15,0,251,12.0,1335,1054,17,61,43,57,43.0,1337,992,57.4,6.8,1007,705,58.8,7.5,8.0,89.4,97.4,56.9,43.1,1055,926,38,46,413,60.8,C,76,26,0.39,0.47,0.87,0.35,0.47,3.3,29,34,63,25,82,21,59,1,61.4,45.1,16.3,5.7,1.5,7.2
586,Mason Marchment,26,FLA,F,54,18,29,47,29,53,5.7,17,1,0,2,28,1,0,121,14.9,762,847,9,114,11,29,27.5,754,501,60.1,4.0,565,359,61.1,5.5,13.0,90.8,103.8,50.5,49.5,847,793,25,17,207,58.5,F,54,18,0.33,0.54,0.87,0.32,0.98,2.24,17,28,45,17,61,5,28,1,40.8,24.5,16.3,4.1,1.5,5.7
587,John Marino,24,PIT,D,81,1,24,25,1,23,4.0,1,0,0,0,20,2,2,90,1.1,1672,1238,88,73,0,0,,1310,1213,51.9,0.1,1013,914,52.6,-0.2,7.4,91.9,99.3,45.3,54.7,1238,1041,43,35,191,47.1,D,81,7,0.01,0.3,0.31,0.09,0.28,1.11,1,23,24,7,62,4,75,18,57.5,56.3,1.3,0.4,3.6,4.0
588,Mitch Marner,24,TOR,RW,72,35,62,97,23,16,10.7,26,6,3,5,42,19,1,224,15.6,1504,1253,31,75,10,8,55.6,1277,948,57.4,5.6,972,728,57.2,5.7,13.3,87.1,100.5,60.7,39.3,1253,946,72,63,420,53.3,RW,72,35,0.49,0.86,1.35,0.49,0.22,3.11,34,59,93,35,135,40,91,19,63.3,41.5,21.8,8.5,2.2,10.7
590,Pat Maroon,33,TBL,LW,81,11,16,27,20,134,2.6,8,3,0,0,13,3,0,102,10.8,1004,744,11,160,15,15,50.0,752,697,51.9,1.4,582,550,51.4,0.4,9.5,94.9,104.4,43.6,56.4,744,664,16,17,156,65.4,LW,81,10,0.14,0.2,0.33,0.13,1.65,1.26,11,15,26,10,49,9,20,0,38.6,33.0,5.6,0.9,1.8,2.6
591,Matt Martin,32,NYI,LW,71,3,4,7,-2,70,-0.2,3,0,0,0,4,0,0,66,4.5,812,686,26,235,8,11,42.1,589,690,46.1,-0.7,425,487,46.6,0.0,7.3,92.8,100.1,34.2,65.8,686,679,11,17,106,62.3,LW,71,3,0.04,0.06,0.1,0.04,0.99,0.93,3,4,7,3,24,1,25,0,26.4,28.3,-1.9,-1.3,1.1,-0.2
592,Alec Martinez,34,VEG,D,26,3,5,8,6,4,1.9,3,0,0,0,5,0,0,32,9.4,508,1172,68,26,0,0,,489,456,51.7,0.2,362,316,53.4,1.9,8.6,92.9,101.6,58.2,41.8,1172,1070,8,19,69,46.4,D,26,3,0.12,0.19,0.31,0.12,0.15,1.23,3,5,8,3,24,1,23,6,23.3,21.8,1.4,0.5,1.4,1.9
593,Jordan Martinook,29,CAR,LW,59,6,9,15,1,22,1.0,6,0,0,2,9,0,0,77,7.8,661,672,11,83,23,28,45.1,681,479,58.7,3.1,506,382,57.0,1.8,7.1,91.8,98.8,59.9,40.1,672,639,11,15,152,50.7,LW,59,6,0.1,0.15,0.25,0.1,0.37,1.31,6,9,15,6,24,0,25,2,28.7,24.9,3.8,0.2,0.8,1.0
594,Mike Matheson,27,PIT,D,74,11,20,31,12,33,6.1,11,0,0,5,18,2,0,140,7.9,1391,1128,81,97,0,0,,1331,1157,53.5,2.6,1041,876,54.3,2.6,9.3,91.3,100.7,51.0,49.0,1128,1071,43,43,295,47.5,D,74,11,0.15,0.27,0.42,0.15,0.45,1.89,11,19,30,11,75,4,59,0,63.6,57.2,6.4,2.3,3.8,6.1
596,Auston Matthews,24,TOR,C,73,60,46,106,20,18,13.8,44,16,0,10,33,13,0,348,17.2,1504,1237,62,67,691,538,56.2,1461,1016,59.0,8.2,1125,785,58.9,8.7,12.6,86.6,99.2,62.2,37.8,1237,1046,92,48,599,58.1,C,73,45,0.82,0.63,1.45,0.61,0.25,4.77,58,44,102,44,147,46,81,0,74.0,45.4,28.6,11.7,2.1,13.8
597,Scott Mayfield,29,NYI,D,61,3,15,18,-5,55,3.3,3,0,0,2,14,0,1,80,3.8,1206,1186,109,77,0,0,,919,956,49.0,2.7,674,711,48.7,1.6,8.3,91.1,99.5,45.4,54.6,1186,1044,15,53,202,39.6,D,61,6,0.05,0.25,0.3,0.09,0.9,1.31,3,14,17,5,42,0,63,15,43.0,48.4,-5.4,0.6,2.7,3.3
598,Gerald Mayhew,29,TOT,F,40,11,1,12,-6,18,1.2,10,1,0,0,1,0,0,53,20.8,527,791,26,58,3,7,30.0,413,462,47.2,1.4,311,346,47.3,1.8,7.8,90.0,97.8,45.2,54.8,791,734,9,7,103,51.5,F,40,6,0.28,0.03,0.3,0.16,0.45,1.33,11,1,12,6,21,4,23,0,15.7,18.1,-2.5,0.8,0.5,1.2
599,Dysin Mayo,25,ARI,D,67,4,8,12,-22,27,1.5,4,0,0,0,8,0,0,76,5.3,1401,1255,133,129,0,0,,867,1292,40.2,-5.5,636,977,39.4,-5.6,9.2,90.8,100.0,39.9,60.1,1255,1073,14,39,158,48.1,D,67,4,0.06,0.12,0.18,0.06,0.4,1.13,4,8,12,4,45,0,98,31,38.0,63.2,-25.1,-0.2,1.7,1.5
600,Charlie McAvoy,24,BOS,D,78,10,46,56,31,66,10.8,5,4,1,5,29,17,0,166,6.0,1922,1478,130,155,0,0,,1626,1247,56.6,4.2,1302,913,58.8,5.8,8.7,91.6,100.3,55.2,44.8,1478,1160,29,65,295,56.3,D,78,18,0.13,0.59,0.72,0.23,0.85,2.13,10,44,54,17,127,36,77,17,81.1,51.5,29.6,4.0,6.8,10.8
601,Jack McBain,22,ARI,C,10,2,1,3,-6,6,0.0,2,0,0,0,1,0,0,13,15.4,142,851,9,33,35,68,34.0,86,123,41.1,-3.1,66,97,40.5,-3.3,15.6,81.9,97.5,40.6,59.4,851,697,2,5,24,54.2,C,10,1,0.2,0.1,0.3,0.14,0.6,1.3,2,1,3,1,7,0,14,1,3.8,7.3,-3.5,0.1,-0.1,0.0
602,Jake McCabe,28,CHI,D,75,4,18,22,-27,33,2.6,4,0,0,0,18,0,0,80,5.0,1523,1218,167,166,0,0,,1018,1394,42.2,-5.5,725,1019,41.6,-6.3,9.4,89.7,99.1,36.4,63.6,1218,1060,18,60,181,44.2,D,75,7,0.05,0.24,0.29,0.09,0.44,1.07,4,17,21,7,50,0,105,28,43.4,59.5,-16.2,0.6,2.0,2.6
603,Jared McCann,25,SEA,C,74,27,23,50,-26,33,4.8,18,8,1,1,14,9,0,199,13.6,1194,968,29,65,224,268,45.5,966,849,53.2,4.1,725,643,53.0,4.4,8.2,86.3,94.4,58.5,41.5,968,799,43,37,353,56.4,C,74,21,0.36,0.31,0.68,0.28,0.45,2.69,26,22,48,20,62,20,70,2,40.3,37.3,3.0,4.0,0.7,4.8
604,Michael McCarron,26,NSH,RW,51,7,7,14,10,70,1.5,6,0,1,2,6,1,0,51,13.7,530,623,31,116,192,161,54.4,406,422,49.0,2.1,320,319,50.1,2.8,9.3,94.7,103.9,34.4,65.6,623,551,14,19,84,60.7,RW,51,6,0.14,0.14,0.27,0.11,1.37,1.0,7,7,14,6,24,1,20,7,16.5,20.0,-3.5,0.5,1.0,1.5
606,Max McCormick,29,SEA,LW,10,0,0,0,1,10,-0.1,0,0,0,0,0,0,0,8,0.0,81,486,3,11,2,2,50.0,55,50,52.4,-1.9,41,36,53.2,-1.4,6.7,96.0,102.7,31.7,68.3,486,479,2,1,15,53.3,LW,10,0,0.0,0.0,0.0,0.0,1.0,0.8,0,0,0,0,2,0,1,0,2.3,2.0,0.3,-0.2,0.1,-0.1
607,Connor McDavid,25,EDM,C,80,44,79,123,28,45,14.0,34,10,0,9,44,34,1,314,14.0,1765,1324,26,75,562,484,53.7,1670,1265,56.9,7.2,1278,987,56.4,7.9,10.1,91.0,101.1,56.3,43.7,1324,1088,73,68,481,65.5,C,80,45,0.55,0.99,1.54,0.56,0.56,3.93,43,75,118,44,151,53,71,1,84.2,62.1,22.2,11.1,2.8,14.0
608,Ryan McDonagh,32,TBL,D,71,4,22,26,15,16,5.2,4,0,0,0,21,1,0,85,4.7,1594,1347,137,96,0,1,0.0,1077,1180,47.7,-4.3,824,891,48.0,-4.3,10.8,92.6,103.4,41.6,58.4,1347,1128,26,24,180,47.2,D,71,8,0.06,0.31,0.37,0.11,0.23,1.2,4,21,25,8,63,1,76,29,49.9,51.8,-1.9,0.9,4.3,5.2
609,Brock McGinn,27,PIT,LW,64,12,10,22,0,14,1.6,12,0,0,2,10,0,0,99,12.1,960,900,50,94,16,28,36.4,661,777,46.0,-7.6,525,563,48.3,-6.0,7.5,92.7,100.2,34.9,65.1,900,777,18,19,157,63.1,LW,64,9,0.19,0.16,0.34,0.14,0.22,1.55,12,9,21,9,31,0,43,12,31.3,32.4,-1.1,0.6,1.1,1.6
610,Greg McKegg,29,NYR,C,43,2,3,5,-11,6,-0.4,2,0,0,0,2,0,1,25,8.0,467,652,22,50,72,88,45.0,270,423,39.0,-7.5,205,310,39.8,-7.3,4.6,91.6,96.2,42.7,57.3,652,576,14,15,38,65.8,C,43,2,0.05,0.07,0.12,0.04,0.14,0.58,2,3,5,2,8,0,24,5,11.9,18.9,-7.0,-0.6,0.2,-0.4
